 year_start:        1998 ,year_end:        1999
 day_start:           1 , day_end:         730
 cdoms,Kds,pars,mxls, dmxldt_day
  0.2286E+01,  0.4734E-01,  0.5197E+02,  0.1907E+03,  0.0000E+00
  0.2104E+01,  0.4989E-01,  0.5156E+02,  0.1903E+03,  0.8676E-01
  0.1922E+01,  0.5245E-01,  0.5115E+02,  0.1904E+03,  0.8649E+00
  0.2282E+01,  0.4799E-01,  0.5082E+02,  0.1912E+03,  0.0000E+00
  0.2643E+01,  0.4353E-01,  0.5049E+02,  0.1910E+03,  0.4703E-01
  0.2914E+01,  0.3713E-01,  0.5006E+02,  0.1911E+03,  0.8079E+00
  0.2993E+01,  0.4230E-01,  0.4966E+02,  0.1919E+03,  0.1306E+01
  0.2905E+01,  0.3805E-01,  0.4929E+02,  0.1932E+03,  0.7417E+00
  0.2818E+01,  0.3380E-01,  0.4882E+02,  0.1939E+03,  0.6367E+00
  0.3005E+01,  0.3733E-01,  0.1274E+02,  0.1945E+03,  0.1219E+00
  0.3192E+01,  0.4086E-01,  0.2833E+02,  0.1947E+03,  0.0000E+00
  0.3380E+01,  0.4439E-01,  0.4391E+02,  0.1946E+03,  0.0000E+00
  0.3567E+01,  0.4792E-01,  0.4544E+02,  0.1941E+03,  0.0000E+00
  0.3755E+01,  0.5145E-01,  0.4697E+02,  0.1939E+03,  0.2954E+00
  0.3336E+01,  0.3100E-01,  0.4659E+02,  0.1942E+03,  0.1604E+01
  0.4798E+01,  0.3920E-01,  0.4621E+02,  0.1958E+03,  0.1156E+01
  0.3987E+01,  0.3020E-01,  0.4576E+02,  0.1970E+03,  0.5046E-01
  0.3118E+01,  0.4960E-01,  0.4528E+02,  0.1970E+03,  0.0000E+00
  0.2843E+01,  0.4410E-01,  0.4497E+02,  0.1965E+03,  0.0000E+00
  0.3262E+01,  0.4030E-01,  0.4310E+02,  0.1949E+03,  0.0000E+00
  0.5304E+01,  0.3650E-01,  0.4431E+02,  0.1930E+03,  0.0000E+00
  0.4090E+01,  0.3862E-01,  0.4388E+02,  0.1923E+03,  0.0000E+00
  0.2875E+01,  0.4075E-01,  0.4345E+02,  0.1907E+03,  0.0000E+00
  0.2835E+01,  0.4369E-01,  0.4241E+02,  0.1881E+03,  0.0000E+00
  0.2796E+01,  0.4662E-01,  0.4136E+02,  0.1871E+03,  0.8486E+00
  0.2756E+01,  0.4956E-01,  0.4239E+02,  0.1879E+03,  0.5140E+00
  0.2716E+01,  0.5249E-01,  0.4212E+02,  0.1884E+03,  0.0000E+00
  0.2676E+01,  0.5543E-01,  0.5157E+01,  0.1878E+03,  0.0000E+00
  0.2637E+01,  0.5836E-01,  0.3564E+02,  0.1864E+03,  0.0000E+00
  0.2597E+01,  0.6130E-01,  0.4064E+02,  0.1856E+03,  0.0000E+00
  0.1948E+01,  0.6188E-01,  0.4031E+02,  0.1843E+03,  0.0000E+00
  0.1299E+01,  0.6247E-01,  0.3997E+02,  0.1819E+03,  0.0000E+00
  0.1314E+01,  0.6186E-01,  0.3946E+02,  0.1795E+03,  0.1047E+01
  0.1328E+01,  0.6125E-01,  0.3896E+02,  0.1805E+03,  0.2567E+01
  0.1342E+01,  0.6065E-01,  0.2496E+02,  0.1831E+03,  0.2852E+00
  0.1356E+01,  0.6004E-01,  0.1096E+02,  0.1834E+03,  0.0000E+00
  0.1370E+01,  0.5943E-01,  0.1737E+02,  0.1828E+03,  0.0000E+00
  0.1384E+01,  0.5882E-01,  0.2378E+02,  0.1816E+03,  0.0000E+00
  0.1398E+01,  0.5822E-01,  0.3702E+02,  0.1804E+03,  0.0000E+00
  0.1412E+01,  0.5761E-01,  0.3704E+02,  0.1786E+03,  0.0000E+00
  0.1426E+01,  0.5700E-01,  0.3649E+02,  0.1783E+03,  0.0000E+00
  0.2582E+01,  0.5655E-01,  0.3407E+02,  0.1753E+03,  0.0000E+00
  0.3738E+01,  0.5610E-01,  0.3164E+02,  0.1695E+03,  0.0000E+00
  0.4894E+01,  0.5565E-01,  0.3347E+02,  0.1638E+03,  0.0000E+00
  0.6050E+01,  0.5520E-01,  0.3530E+02,  0.1628E+03,  0.0000E+00
  0.5596E+01,  0.5595E-01,  0.3489E+02,  0.1615E+03,  0.0000E+00
  0.5141E+01,  0.5670E-01,  0.3449E+02,  0.1594E+03,  0.0000E+00
  0.4687E+01,  0.5745E-01,  0.3352E+02,  0.1563E+03,  0.6157E+01
  0.4232E+01,  0.5820E-01,  0.3255E+02,  0.1624E+03,  0.1292E+02
  0.3778E+01,  0.5895E-01,  0.3354E+02,  0.1754E+03,  0.6185E+01
  0.3323E+01,  0.5970E-01,  0.3322E+02,  0.1815E+03,  0.2031E+01
  0.3126E+01,  0.5760E-01,  0.3297E+02,  0.1836E+03,  0.2476E+01
  0.2928E+01,  0.5550E-01,  0.3258E+02,  0.1860E+03,  0.0000E+00
  0.2731E+01,  0.5340E-01,  0.3218E+02,  0.1813E+03,  0.0000E+00
  0.1580E+01,  0.5250E-01,  0.3185E+02,  0.1479E+03,  0.0000E+00
  0.4289E+00,  0.5160E-01,  0.3151E+02,  0.1283E+03,  0.0000E+00
  0.7215E+00,  0.5070E-01,  0.2292E+02,  0.9779E+02,  0.0000E+00
  0.1014E+01,  0.4980E-01,  0.1433E+02,  0.8384E+02,  0.0000E+00
  0.1307E+01,  0.4890E-01,  0.1052E+02,  0.5886E+02,  0.0000E+00
  0.1599E+01,  0.4800E-01,  0.3050E+02,  0.4277E+02,  0.0000E+00
  0.1892E+01,  0.4710E-01,  0.3016E+02,  0.3696E+02,  0.0000E+00
  0.2591E+01,  0.5072E-01,  0.1926E+02,  0.3581E+02,  0.4164E+00
  0.3289E+01,  0.5435E-01,  0.2950E+02,  0.3623E+02,  0.0000E+00
  0.3222E+01,  0.5421E-01,  0.2925E+02,  0.3485E+02,  0.1416E+01
  0.3155E+01,  0.5407E-01,  0.2901E+02,  0.3627E+02,  0.1376E+01
  0.2780E+01,  0.5519E-01,  0.2878E+02,  0.3764E+02,  0.0000E+00
  0.2405E+01,  0.5630E-01,  0.2855E+02,  0.3763E+02,  0.7281E+00
  0.2146E+01,  0.5693E-01,  0.1798E+02,  0.3836E+02,  0.3088E+01
  0.1888E+01,  0.5757E-01,  0.7415E+01,  0.4144E+02,  0.2248E+01
  0.1629E+01,  0.5820E-01,  0.2793E+02,  0.4369E+02,  0.2590E+01
  0.2816E+01,  0.5559E-01,  0.2777E+02,  0.4628E+02,  0.1532E+01
  0.4002E+01,  0.5297E-01,  0.9389E+01,  0.4781E+02,  0.0000E+00
  0.5188E+01,  0.5036E-01,  0.2546E+02,  0.4670E+02,  0.0000E+00
  0.6374E+01,  0.4775E-01,  0.2690E+02,  0.4379E+02,  0.0000E+00
  0.6088E+01,  0.4901E-01,  0.1998E+02,  0.4213E+02,  0.4077E-01
  0.5802E+01,  0.5026E-01,  0.1305E+02,  0.4217E+02,  0.4239E+00
  0.5516E+01,  0.5152E-01,  0.1709E+02,  0.4259E+02,  0.0000E+00
  0.5230E+01,  0.5278E-01,  0.2114E+02,  0.4192E+02,  0.0000E+00
  0.4944E+01,  0.5403E-01,  0.2073E+02,  0.4118E+02,  0.0000E+00
  0.4658E+01,  0.5529E-01,  0.2031E+02,  0.3938E+02,  0.0000E+00
  0.4372E+01,  0.5654E-01,  0.2578E+02,  0.3551E+02,  0.0000E+00
  0.4086E+01,  0.5780E-01,  0.2542E+02,  0.3184E+02,  0.7071E+00
