time    Pop1        Pop2
10.48611 0.83328E+01 0.24577E+02
10.55556 0.82850E+01 0.23711E+02
10.62500 0.82473E+01 0.22874E+02
10.69444 0.82191E+01 0.22066E+02
10.76389 0.82000E+01 0.21287E+02
10.83333 0.81896E+01 0.20535E+02
10.90278 0.81877E+01 0.19809E+02
10.97222 0.81939E+01 0.19109E+02
11.04167 0.82079E+01 0.18434E+02
11.11111 0.82295E+01 0.17783E+02
11.18056 0.82585E+01 0.17155E+02
11.25000 0.82947E+01 0.16550E+02
11.31944 0.83380E+01 0.15966E+02
11.38889 0.83881E+01 0.15404E+02
11.45833 0.84450E+01 0.14862E+02
11.52778 0.85086E+01 0.14339E+02
11.59722 0.85788E+01 0.13836E+02
11.66667 0.86555E+01 0.13351E+02
11.73611 0.87386E+01 0.12884E+02
11.80556 0.88282E+01 0.12433E+02
11.87500 0.89242E+01 0.12000E+02
11.94444 0.90265E+01 0.11582E+02
12.01389 0.91353E+01 0.11180E+02
12.08333 0.92504E+01 0.10792E+02
12.15278 0.93719E+01 0.10419E+02
12.22222 0.94998E+01 0.10059E+02
12.29167 0.96342E+01 0.97131E+01
12.36111 0.97751E+01 0.93797E+01
12.43056 0.99226E+01 0.90586E+01
12.50000 0.10077E+02 0.87495E+01
12.56944 0.10238E+02 0.84518E+01
12.63889 0.10405E+02 0.81652E+01
12.70833 0.10580E+02 0.78892E+01
12.77778 0.10761E+02 0.76236E+01
12.84722 0.10950E+02 0.73678E+01
12.91667 0.11145E+02 0.71215E+01
12.98611 0.11348E+02 0.68844E+01
13.05556 0.11559E+02 0.66562E+01
13.12500 0.11777E+02 0.64365E+01
13.19444 0.12003E+02 0.62250E+01
13.26389 0.12236E+02 0.60214E+01
13.33333 0.12478E+02 0.58255E+01
13.40278 0.12728E+02 0.56368E+01
13.47222 0.12986E+02 0.54553E+01
13.54167 0.13252E+02 0.52805E+01
13.61111 0.13528E+02 0.51123E+01
13.68056 0.13812E+02 0.49505E+01
13.75000 0.14105E+02 0.47947E+01
13.81944 0.14408E+02 0.46448E+01
13.88889 0.14720E+02 0.45005E+01
13.95833 0.15041E+02 0.43617E+01
