1,3.33E+00,3.91E-02,6.66E+01,1.20E+02
2,5.48E+00,3.08E-02,6.68E+01,1.24E+02
3,4.69E+00,3.48E-02,6.67E+01,1.25E+02
4,3.89E+00,3.87E-02,6.67E+01,1.25E+02
5,3.99E+00,3.32E-02,6.66E+01,1.26E+02
6,4.09E+00,2.76E-02,6.65E+01,1.28E+02
7,3.74E+00,2.83E-02,6.64E+01,1.29E+02
8,3.38E+00,2.90E-02,6.63E+01,1.29E+02
9,1.87E+00,2.71E-02,6.47E+01,1.29E+02
10,4.17E+00,2.52E-02,6.62E+01,1.29E+02
11,3.94E+00,2.61E-02,6.17E+01,1.31E+02
12,3.72E+00,2.70E-02,6.59E+01,1.32E+02
13,1.22E-01,2.75E-02,6.57E+01,1.33E+02
14,7.72E-01,2.80E-02,6.55E+01,1.32E+02
15,1.42E+00,2.85E-02,6.52E+01,1.31E+02
16,2.07E+00,2.90E-02,6.54E+01,1.31E+02
17,2.72E+00,2.96E-02,6.55E+01,1.32E+02
18,3.51E+00,3.21E-02,6.53E+01,1.33E+02
19,4.29E+00,3.47E-02,6.51E+01,1.37E+02
20,2.50E+00,2.74E-02,6.49E+01,1.39E+02
21,7.01E-01,3.05E-02,6.49E+01,1.40E+02
22,3.30E+00,3.36E-02,6.44E+01,1.44E+02
23,3.42E+00,3.30E-02,6.15E+01,1.44E+02
24,3.54E+00,3.25E-02,6.43E+01,1.44E+02
25,4.32E+00,2.85E-02,6.41E+01,1.40E+02
26,5.09E+00,2.46E-02,6.40E+01,1.36E+02
27,4.11E+00,2.61E-02,6.38E+01,1.39E+02
28,3.14E+00,2.77E-02,6.36E+01,1.41E+02
29,2.83E+00,2.74E-02,6.34E+01,1.42E+02
30,2.52E+00,2.72E-02,6.32E+01,1.46E+02
31,3.52E+00,2.44E-02,6.33E+01,1.51E+02
32,2.49E+00,2.93E-02,6.31E+01,1.52E+02
33,4.15E+00,2.38E-02,6.28E+01,1.54E+02
34,6.18E+00,2.51E-02,6.25E+01,1.56E+02
35,3.77E+00,3.19E-02,6.24E+01,1.57E+02
36,3.60E+00,3.61E-02,6.23E+01,1.59E+02
37,3.43E+00,4.02E-02,6.21E+01,1.60E+02
38,3.66E+00,3.60E-02,6.18E+01,1.63E+02
39,3.90E+00,3.18E-02,6.16E+01,1.64E+02
40,3.99E+00,3.32E-02,6.12E+01,1.63E+02
41,4.08E+00,3.47E-02,6.09E+01,1.64E+02
42,3.25E+00,3.42E-02,6.07E+01,1.65E+02
43,3.67E+00,3.22E-02,6.04E+01,1.66E+02
44,4.12E+00,3.01E-02,6.00E+01,1.67E+02
45,3.49E+00,3.31E-02,5.98E+01,1.68E+02
46,3.20E+00,3.35E-02,5.97E+01,1.68E+02
47,2.92E+00,3.39E-02,5.91E+01,1.68E+02
48,2.63E+00,3.43E-02,5.85E+01,1.70E+02
49,2.34E+00,3.47E-02,5.85E+01,1.72E+02
50,2.06E+00,3.52E-02,5.85E+01,1.72E+02
51,2.57E+00,3.24E-02,5.81E+01,1.73E+02
52,3.09E+00,2.96E-02,5.78E+01,1.75E+02
53,2.50E+00,2.80E-02,5.75E+01,1.77E+02
54,2.51E+00,2.72E-02,5.71E+01,1.79E+02
55,1.81E+00,3.29E-02,5.69E+01,1.81E+02
56,2.18E+00,3.72E-02,4.33E+01,1.83E+02
57,2.56E+00,4.15E-02,5.61E+01,1.86E+02
58,2.99E+00,4.09E-02,5.57E+01,1.87E+02
59,3.42E+00,4.04E-02,5.53E+01,1.89E+02
60,3.43E+00,3.83E-02,5.39E+01,1.89E+02
61,3.44E+00,3.63E-02,5.26E+01,1.89E+02
62,3.45E+00,3.42E-02,5.36E+01,1.90E+02
63,3.46E+00,3.21E-02,5.46E+01,1.91E+02
64,3.38E+00,3.20E-02,5.42E+01,1.91E+02
65,3.20E+00,3.46E-02,4.76E+01,1.92E+02
66,3.01E+00,3.71E-02,5.00E+01,1.92E+02
67,2.83E+00,3.97E-02,1.76E+01,1.92E+02
68,2.65E+00,4.22E-02,1.63E+01,1.92E+02
69,2.47E+00,4.48E-02,3.41E+01,1.91E+02
70,2.29E+00,4.73E-02,5.20E+01,1.91E+02
71,2.10E+00,4.99E-02,5.16E+01,1.90E+02
72,1.92E+00,5.25E-02,5.12E+01,1.90E+02
73,2.28E+00,4.80E-02,5.08E+01,1.91E+02
74,2.64E+00,4.35E-02,5.05E+01,1.91E+02
75,2.91E+00,3.71E-02,5.01E+01,1.91E+02
76,2.99E+00,4.23E-02,4.97E+01,1.92E+02
77,2.91E+00,3.81E-02,4.93E+01,1.93E+02
78,2.82E+00,3.38E-02,4.88E+01,1.94E+02
79,3.01E+00,3.73E-02,1.27E+01,1.95E+02
80,3.19E+00,4.09E-02,2.83E+01,1.95E+02
81,3.38E+00,4.44E-02,4.39E+01,1.95E+02
82,3.57E+00,4.79E-02,4.54E+01,1.94E+02
83,3.76E+00,5.15E-02,4.70E+01,1.94E+02
84,3.34E+00,3.10E-02,4.66E+01,1.94E+02
85,4.80E+00,3.92E-02,4.62E+01,1.96E+02
86,3.99E+00,3.02E-02,4.58E+01,1.97E+02
87,3.12E+00,4.96E-02,4.53E+01,1.97E+02
88,2.84E+00,4.41E-02,4.50E+01,1.97E+02
89,3.26E+00,4.03E-02,4.31E+01,1.95E+02
90,5.30E+00,3.65E-02,4.43E+01,1.93E+02
91,4.09E+00,3.86E-02,4.39E+01,1.92E+02
92,2.88E+00,4.08E-02,4.35E+01,1.91E+02
93,2.84E+00,4.37E-02,4.24E+01,1.88E+02
94,2.80E+00,4.66E-02,4.14E+01,1.87E+02
95,2.76E+00,4.96E-02,4.24E+01,1.88E+02
96,2.72E+00,5.25E-02,4.21E+01,1.88E+02
97,2.68E+00,5.54E-02,5.16E+00,1.88E+02
